sampler,n_steps,NFE,mean_s,std_s,d_rss_MB,peak_rss_MB,s_per_NFE
diffusion,2,4,3.4912,0.0526,0.48,1778.1,0.87279
diffusion,5,10,14.0939,0.2031,0.77,1910.6,1.40939
diffusion,10,20,32.3383,1.7423,0.32,2046.5,1.61691
diffusion,20,40,66.9903,1.8007,0.22,2178.5,1.67476
diffusion,30,60,104.1485,3.1465,0.05,2304.7,1.73581
consistency,1,1,0.3094,0.0119,165.78,2627.6,0.30936
consistency,5,5,1.5416,0.0259,79.48,3587.2,0.30833
consistency,10,10,3.1866,0.0568,0.00,5013.0,0.31866
consistency,30,30,9.2817,0.1365,0.00,9998.9,0.30939
